Feature ID	Surface	Area	Feature	User story	Expected behavior	Code evidence	Runtime/API evidence	Test evidence	Status	Defects	Fix status	Retest status	Notes
DESK-ONB-001	Desktop	Onboarding	Welcome step	As a first-time user I can understand and start setup.	Welcome renders without blocking; primary action advances to setup.	apps/x/apps/renderer/src/components/onboarding	Renderer route at http://localhost:5173	Manual Electron dogfood 2026-06-27 completed welcome flow.	Tested-Pass	None	N/A	Retest-Pass	Authenticated test workdir used.
DESK-ONB-002	Desktop	Onboarding	Connect accounts step	As a first-time user I can connect or skip external accounts.	Google and Slack connection options are visible; skip path works without OAuth credentials.	apps/x/apps/renderer/src/components/onboarding/steps/connect-accounts-step.tsx	OAuth IPC channels oauth:* and composio:*	Manual Electron dogfood 2026-06-27 skipped account connection and continued.	Tested-Pass	None	N/A	Retest-Pass	OAuth happy paths still need credentialed testing.
DESK-ONB-003	Desktop	Onboarding	Model setup step	As a first-time user I can configure or skip LLM setup.	Model setup copy is task-oriented; skip path does not block local mock mode.	apps/x/apps/renderer/src/components/onboarding/steps/llm-setup-step.tsx	models:list; models:test; models:saveConfig	Copy retested after replacing background agents wording on 2026-06-27.	Tested-Pass	FIX-20260627-001	Fixed	Retest-Pass	Only copy was changed.
DESK-ONB-004	Desktop	Onboarding	Completion state	As a first-time user I land in the main app after setup.	Onboarding marks complete and main shell opens on subsequent launch.	apps/x/apps/renderer/src/App.tsx; onboarding IPC onboarding:getStatus/markComplete	onboarding:getStatus; onboarding:markComplete	Manual Electron dogfood 2026-06-27 reached main app.	Tested-Pass	None	N/A	Retest-Pass	
DESK-SHELL-001	Desktop	App shell	Primary navigation	As a user I can move between Home, meetings, live notes, background tasks, email, workspace, knowledge, browser, and settings.	Sidebar/nav controls switch sections without a full reload or lost state.	apps/x/apps/renderer/src/App.tsx; apps/x/apps/renderer/src/components/sidebar-content.tsx	Renderer tab state	Manual Electron dogfood 2026-06-27 navigated Home, Email, Meetings, Knowledge, Background tasks, Workspaces, and Settings without current runtime errors; fixed and retested OAuth warning alert trigger from the shell.	Partial-Test-Pass	FIX-20260627-012	Fixed	Retest-Pass	Need Live notes and Browser pane pass.
DESK-SHELL-002	Desktop	App shell	Sidebar background task summary	As a user I can scan recent background task state from the sidebar.	Sidebar uses task terminology and shows last run state when available.	apps/x/apps/renderer/src/components/sidebar-content.tsx	bg-task:list	Manual dogfood found stale "No active agents" copy; patched and retested with HMR 2026-06-27.	Tested-Pass	FIX-20260627-001	Fixed	Retest-Pass	
DESK-SHELL-003	Desktop	App shell	Window and layout responsiveness	As a user I can resize the desktop app without clipped controls.	Main columns, panels, modals, and nav remain usable at common desktop widths.	apps/x/apps/renderer/src	App window via Electron	Manual Electron dogfood 2026-06-27 found 700px viewport kept sidebar/chat widths too large, clipping Home content and chat controls; fixed initial sidebar auto-collapse, responsive chat max-width, and Home narrow-grid behavior; retested 700px and 900px with no document overflow.	Tested-Pass	FIX-20260627-011	Fixed	Retest-Pass	
DESK-SHELL-004	Desktop	App shell	Settings dialog entry	As a user I can open and close settings from the shell.	Settings dialog opens focused and returns to prior context when closed.	apps/x/apps/renderer/src/components/settings-dialog.tsx; apps/x/apps/renderer/src/components/ui/dialog.tsx	settings component tree	Manual Electron dogfood 2026-06-27 found closed dialog stuck mounted with body pointer-events disabled; removed dialog animation classes and retested open/close with zero dialog nodes after close.	Tested-Pass	FIX-20260627-004	Fixed	Retest-Pass	Evidence screenshot issue-003-settings-tab-body-stale.png plus DOM checks.
DESK-SHELL-005	Desktop	App shell	Deep link handling	As a user I can open app links that route to the intended view.	Pending deep links are consumed once and do not duplicate actions.	apps/x/packages/shared/src/ipc.ts	app:consumePendingDeepLink	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-001	Desktop	Chat	New chat creation	As a user I can start a new chat from the main surface.	New chat appears in history and accepts the first message.	apps/x/apps/renderer/src/components/chat*; runs:create	runs:create	Manual dogfood sent chat prompt through API gateway 2026-06-27.	Tested-Pass	None	N/A	Retest-Pass	Response used mock LLM text.
