"ID","Area","Feature","User Story","Expected Behavior (from code)","Code Refs","Status","Test Result","Issues Found","Fix Applied","Re-test Result"
"F001","Chat","Floating ""Ask anything"" input bar","As a user, I want a docked input bar in the corner of the app, so that I can start a chat from anywhere without opening the full chat surface.","A fixed bottom-right bar shows an ""Ask anything..."" input; focusing it opens the chat pane (onOpen) and pressing Enter (without Shift) submits the trimmed message, clearing the field; the send button is disabled until text is entered.","apps/x/apps/renderer/src/components/chat-button.tsx:11; apps/x/apps/renderer/src/components/chat-button.tsx:22","Tested","Pass (traced)","","",""
"F002","Chat","Dockable resizable chat side pane","As a user, I want the copilot as a side pane I can resize and place left/middle/right, so that I can work alongside my notes.","ChatSidebar renders a resizable pane (drag handle, 360-1600px, persisted to localStorage x:right-pane-width), supports placement middle/right and pane sizes (chat-smaller/equal/bigger), and clamps width so the main pane keeps a minimum.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:312; apps/x/apps/renderer/src/components/chat-sidebar.tsx:510","Tested","Pass (traced)","","",""
"F003","Chat","Expand/dock (maximize) chat","As a user, I want to expand the chat to full width and dock it back, so that I can switch between focused chat and split view.","A header arrow button toggles maximize via onOpenFullScreen; when maximized the pane grows into freed space (flex 1 1 auto) and the empty state renders in a wider centered column; icon/tooltip flip between ""Expand chat"" and ""Dock to side pane"" based on placement and state.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:601; apps/x/apps/renderer/src/components/chat-sidebar.tsx:510","Tested","Pass (traced)","","",""
"F004","Chat","Chat header with title + recent dropdown","As a user, I want the active chat title with a dropdown of recent chats, so that I can see and switch what I'm working on.","ChatHeader shows the active chat title with a message icon; clicking opens a dropdown listing up to 6 recent runs (title + relative time, active highlighted) with a ""View all chats"" entry; renders as static text when no history exists.","apps/x/apps/renderer/src/components/chat-header.tsx:42; apps/x/apps/renderer/src/components/chat-header.tsx:67","Tested","Pass (traced)","","",""
"F005","Chat","New chat","As a user, I want to start a fresh chat, so that I can begin an unrelated conversation.","A ""+"" button (tooltip ""New chat"") in the header invokes onNewChatTab, which resets the active tab to a new run with cleared conversation/draft; the same action is offered from the empty state and history view.","apps/x/apps/renderer/src/components/chat-header.tsx:107; apps/x/apps/renderer/src/App.tsx:3811","Tested","Pass (traced)","","",""
"F006","Chat","Empty-state greeting, recent chats, starters","As a new/returning user, I want a greeting with recent chats and starter prompts, so that I can resume or quickly start a task.","ChatEmptyState shows ""What are we working on?"", up to 4 recent chats (selectable, with View all), and 3 starter action cards (Draft a reply, Set up a background agent, Research a topic) that fill the composer via onPickPrompt without submitting.","apps/x/apps/renderer/src/components/chat-empty-state.tsx:29; apps/x/apps/renderer/src/components/chat-empty-state.tsx:127","Tested","Pass (traced)","","",""
"F007","Chat","Suggestion chips","As a user, I want one-click suggestion chips, so that I can launch common tasks (draft email, meeting prep, document, organize files, presentation).","The Suggestions component renders pill buttons each with an icon/label; clicking calls onSelect with the suggestion's prompt template (e.g. ""Let's draft an email response to [name]""), supporting horizontal or vertical layout.","apps/x/apps/renderer/src/components/ai-elements/suggestions.tsx:11; apps/x/apps/renderer/src/components/ai-elements/suggestions.tsx:51","Tested","Pass (traced)","","",""
"F008","Chat/History","Full chat history view","As a user, I want a full list of all chats with created times, so that I can browse and reopen past conversations.","ChatHistoryView lists runs sorted newest-first with title and relative created time, a sticky column header, an empty ""No chats yet"" state, and Search/New chat actions; rows select a run (cmd-click opens in new tab).","apps/x/apps/renderer/src/components/chat-history-view.tsx:40; apps/x/apps/renderer/src/components/chat-history-view.tsx:101","Tested","Pass (traced)","","",""
"F009","Chat/History","Delete chat with confirmation","As a user, I want to delete a chat after confirming, so that I can remove conversations I no longer need without accidental loss.","Right-click a history row opens a context menu with a destructive Delete (hidden while the run is processing); choosing it opens a confirm dialog, and confirming calls onDeleteRun (runs:delete).","apps/x/apps/renderer/src/components/chat-history-view.tsx:140; apps/x/apps/main/src/ipc.ts:869","Tested","Pass (traced)","","",""
"F010","Chat/History","Open chat in new tab","As a user, I want to open a chat in a separate tab, so that I can keep multiple conversations side by side.","Cmd-clicking a history row, or selecting ""Open in new tab"" from its context menu, calls onOpenInNewTab(runId); chat tabs hold independent per-tab state (runId, conversation, draft, permissions).","apps/x/apps/renderer/src/components/chat-history-view.tsx:109; apps/x/apps/renderer/src/components/chat-sidebar.tsx:354","Tested","Pass (traced)","","",""
"F011","Chat","Download chat log","As a user, I want to export the current chat's run log, so that I can debug or archive the conversation.","The header ""..."" (Chat options) menu offers ""Download chat log"", enabled only when a run exists; it invokes runs:downloadLog which opens a Save dialog and copies runs/<runId>.jsonl to the chosen path, toasting success/failure.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:359; apps/x/apps/main/src/ipc.ts:873","Tested","Pass (traced)","","",""
"F012","Chat","Conversation auto-scroll + scroll-to-bottom","As a user, I want the conversation to follow new messages but let me scroll up, so that I can read history without being yanked down.","Conversation tracks bottom proximity; while at bottom it stays pinned, and when scrolled up a floating ""Scroll to latest message"" button appears; it also supports anchoring the viewport to a specific message id (used when sending).","apps/x/apps/renderer/src/components/ai-elements/conversation.tsx:36; apps/x/apps/renderer/src/components/ai-elements/conversation.tsx:281","Tested","Pass (traced)","","",""
"F013","Chat","Message rendering (markdown, user vs assistant)","As a user, I want messages rendered with markdown, so that bold, lists, links and code survive and assistant/user are visually distinct.","User messages render right-aligned in a secondary bubble (with remarkBreaks preserving single newlines); assistant messages render full-width markdown via Streamdown; a ""Thinking..."" shimmer shows while processing before any text streams.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:430; apps/x/apps/renderer/src/components/ai-elements/message.tsx:40","Tested","Pass (traced)","","",""
"F014","Chat","Error message banner","As a user, I want errors shown inline (but billing noise suppressed), so that I understand failures without confusing clutter.","Error items render in a destructive-tinted banner with monospaced text; messages matching a known billing error are filtered out (return null) so they are handled elsewhere.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:494; apps/x/apps/renderer/src/lib/billing-error.ts:1","Tested","Pass (traced)","","",""
"F015","Chat/Input","Compose and send message","As a user, I want to type and send a message, so that I can talk to the copilot.","PromptInputTextarea sends on Enter (Shift+Enter inserts a newline, IME composition respected); submit is blocked unless there is trimmed text or an attachment and the run is idle; sending clears text, mentions and attachments and creates a run if none exists.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:709; apps/x/apps/renderer/src/App.tsx:2935","Tested","Pass (traced)","","",""
"F016","Chat/Input","Stop / force-stop generation","As a user, I want to stop the assistant mid-response and force-kill if it hangs, so that I stay in control of long runs.","While processing the send button becomes a Stop (square) button calling onStop (runs:stop); a second click enters force mode (spinner, destructive styling, tooltip ""Click again to force stop"") which passes force to terminate processes.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1255; apps/x/apps/main/src/ipc.ts:859","Tested","Pass (traced)","","",""
"F017","Chat/Input","Attach files and photos","As a user, I want to attach files/images via picker, drag-drop, or paste, so that the copilot can use them.","The ""+"" menu and drag-drop add files (<=10MB each, else toast error), reading them base64 to detect mime and show image thumbnails; staged attachments render as removable chips and are sent as attachment content parts.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:672; apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:749","Tested","Pass (traced)","","",""
"F018","Chat/Input","Sent-message attachment display","As a user, I want my sent attachments shown in the transcript, so that I can see what I attached.","ChatMessageAttachments renders images as previews (thumbnail/file URL with base64 fallback on error) and non-image files as labeled cards with type-specific icons, right-aligned under the user message.","apps/x/apps/renderer/src/components/chat-message-attachments.tsx:102; apps/x/apps/renderer/src/components/chat-message-attachments.tsx:42","Tested","Pass (traced)","","",""
"F019","Chat/Input","Per-chat work directory","As a user, I want to set a working directory for a chat (with recents), so that the agent operates in the right project folder.","The ""+"" submenu lets the user choose/change/clear a work dir (defaulting to knowledge/Workspace), shows up to 3 recent dirs persisted in config/recent-work-dirs.json, displays a removable chip, and flushes the dir onto the run on first send.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:546; apps/x/apps/renderer/src/App.tsx:2952","Tested","Pass (traced)","","",""
"F020","Chat/Input","Web search toggle","As a user, I want to toggle web search for my message, so that the assistant can search the web when needed.","A Globe toggle appears only when search is available (signed-in via gateway or an exa-search.json API key); when on it passes searchEnabled and stays on for the session until turned off; it expands to show a ""Search"" label.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1044; apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:611","Tested","Pass (traced)","","",""
